"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"25","1","file:/data/d177_qdb-TEI-02.xml","/data/d177_qdb-TEI-02.xml","d177_qdb-TEI-02.xml","Signature","Done","6804084","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"26","1","file:/data/d179_qdb-TEI-02.xml","/data/d179_qdb-TEI-02.xml","d179_qdb-TEI-02.xml","Signature","Done","8360321","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"27","1","file:/data/d181_qdb-TEI-02.xml","/data/d181_qdb-TEI-02.xml","d181_qdb-TEI-02.xml","Signature","Done","4838319","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"28","1","file:/data/d178_qdb-TEI-02.xml","/data/d178_qdb-TEI-02.xml","d178_qdb-TEI-02.xml","Signature","Done","4639730","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"29","1","file:/data/d182_qdb-TEI-02.xml","/data/d182_qdb-TEI-02.xml","d182_qdb-TEI-02.xml","Signature","Done","6535101","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"30","1","file:/data/d185_qdb-TEI-02.xml","/data/d185_qdb-TEI-02.xml","d185_qdb-TEI-02.xml","Signature","Done","2105972","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"31","1","file:/data/d184_qdb-TEI-02.xml","/data/d184_qdb-TEI-02.xml","d184_qdb-TEI-02.xml","Signature","Done","7178842","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"32","1","file:/data/d187_qdb-TEI-02.xml","/data/d187_qdb-TEI-02.xml","d187_qdb-TEI-02.xml","Signature","Done","5209543","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"33","1","file:/data/d183_qdb-TEI-02.xml","/data/d183_qdb-TEI-02.xml","d183_qdb-TEI-02.xml","Signature","Done","5254008","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"34","1","file:/data/d186_qdb-TEI-02.xml","/data/d186_qdb-TEI-02.xml","d186_qdb-TEI-02.xml","Signature","Done","9203205","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"35","1","file:/data/d189_qdb-TEI-02.xml","/data/d189_qdb-TEI-02.xml","d189_qdb-TEI-02.xml","Signature","Done","5408462","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"36","1","file:/data/d193_qdb-TEI-02.xml","/data/d193_qdb-TEI-02.xml","d193_qdb-TEI-02.xml","Signature","Done","7646083","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"37","1","file:/data/d188_qdb-TEI-02.xml","/data/d188_qdb-TEI-02.xml","d188_qdb-TEI-02.xml","Signature","Done","6339996","File","xml","2026-05-26T06:23:27","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"38","1","file:/data/d190_qdb-TEI-02.xml","/data/d190_qdb-TEI-02.xml","d190_qdb-TEI-02.xml","Signature","Done","3947481","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"39","1","file:/data/d194_qdb-TEI-02.xml","/data/d194_qdb-TEI-02.xml","d194_qdb-TEI-02.xml","Signature","Done","7967448","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"40","1","file:/data/d197_qdb-TEI-02.xml","/data/d197_qdb-TEI-02.xml","d197_qdb-TEI-02.xml","Signature","Done","8279929","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"41","1","file:/data/d192_qdb-TEI-02.xml","/data/d192_qdb-TEI-02.xml","d192_qdb-TEI-02.xml","Signature","Done","5431192","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"42","1","file:/data/d191_qdb-TEI-02.xml","/data/d191_qdb-TEI-02.xml","d191_qdb-TEI-02.xml","Signature","Done","8330311","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"43","1","file:/data/d195_qdb-TEI-02.xml","/data/d195_qdb-TEI-02.xml","d195_qdb-TEI-02.xml","Signature","Done","7307407","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"44","1","file:/data/d198_qdb-TEI-02.xml","/data/d198_qdb-TEI-02.xml","d198_qdb-TEI-02.xml","Signature","Done","4500210","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"45","1","file:/data/d196_qdb-TEI-02.xml","/data/d196_qdb-TEI-02.xml","d196_qdb-TEI-02.xml","Signature","Done","7757163","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"46","1","file:/data/d200_qdb-TEI-02.xml","/data/d200_qdb-TEI-02.xml","d200_qdb-TEI-02.xml","Signature","Done","7033562","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"47","1","file:/data/d201_qdb-TEI-02.xml","/data/d201_qdb-TEI-02.xml","d201_qdb-TEI-02.xml","Signature","Done","5785902","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"48","1","file:/data/d204_qdb-TEI-02.xml","/data/d204_qdb-TEI-02.xml","d204_qdb-TEI-02.xml","Signature","Done","6951808","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"49","1","file:/data/d199_qdb-TEI-02.xml","/data/d199_qdb-TEI-02.xml","d199_qdb-TEI-02.xml","Signature","Done","7469972","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"50","1","file:/data/d202_qdb-TEI-02.xml","/data/d202_qdb-TEI-02.xml","d202_qdb-TEI-02.xml","Signature","Done","5384105","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"51","1","file:/data/d203_qdb-TEI-02.xml","/data/d203_qdb-TEI-02.xml","d203_qdb-TEI-02.xml","Signature","Done","5124366","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"52","1","file:/data/e209_qdb-TEI-02.xml","/data/e209_qdb-TEI-02.xml","e209_qdb-TEI-02.xml","Signature","Done","5003676","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"53","1","file:/data/e208_qdb-TEI-02.xml","/data/e208_qdb-TEI-02.xml","e208_qdb-TEI-02.xml","Signature","Done","6871047","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"54","1","file:/data/e206_qdb-TEI-02.xml","/data/e206_qdb-TEI-02.xml","e206_qdb-TEI-02.xml","Signature","Done","2027385","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"55","1","file:/data/e207_qdb-TEI-02.xml","/data/e207_qdb-TEI-02.xml","e207_qdb-TEI-02.xml","Signature","Done","4663596","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"56","1","file:/data/e205_qdb-TEI-02.xml","/data/e205_qdb-TEI-02.xml","e205_qdb-TEI-02.xml","Signature","Done","5496124","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"57","1","file:/data/e216_qdb-TEI-02.xml","/data/e216_qdb-TEI-02.xml","e216_qdb-TEI-02.xml","Signature","Done","3667339","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"58","1","file:/data/e211_qdb-TEI-02.xml","/data/e211_qdb-TEI-02.xml","e211_qdb-TEI-02.xml","Signature","Done","7014382","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"59","1","file:/data/e213_qdb-TEI-02.xml","/data/e213_qdb-TEI-02.xml","e213_qdb-TEI-02.xml","Signature","Done","6752101","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"60","1","file:/data/e219_qdb-TEI-02.xml","/data/e219_qdb-TEI-02.xml","e219_qdb-TEI-02.xml","Signature","Done","5545792","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"61","1","file:/data/e210_qdb-TEI-02.xml","/data/e210_qdb-TEI-02.xml","e210_qdb-TEI-02.xml","Signature","Done","7984625","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"62","1","file:/data/e218_qdb-TEI-02.xml","/data/e218_qdb-TEI-02.xml","e218_qdb-TEI-02.xml","Signature","Done","6136447","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"63","1","file:/data/e212_qdb-TEI-02.xml","/data/e212_qdb-TEI-02.xml","e212_qdb-TEI-02.xml","Signature","Done","2336139","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"64","1","file:/data/e217_qdb-TEI-02.xml","/data/e217_qdb-TEI-02.xml","e217_qdb-TEI-02.xml","Signature","Done","5978020","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"65","1","file:/data/e220_qdb-TEI-02.xml","/data/e220_qdb-TEI-02.xml","e220_qdb-TEI-02.xml","Signature","Done","5762479","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"66","1","file:/data/e215_qdb-TEI-02.xml","/data/e215_qdb-TEI-02.xml","e215_qdb-TEI-02.xml","Signature","Done","11397459","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"67","1","file:/data/e214_qdb-TEI-02.xml","/data/e214_qdb-TEI-02.xml","e214_qdb-TEI-02.xml","Signature","Done","4406829","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"68","1","file:/data/e221_qdb-TEI-02.xml","/data/e221_qdb-TEI-02.xml","e221_qdb-TEI-02.xml","Signature","Done","9678","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
"69","1","file:/data/e222_qdb-TEI-02.xml","/data/e222_qdb-TEI-02.xml","e222_qdb-TEI-02.xml","Signature","Done","8686987","File","xml","2026-05-26T06:23:28","false","","1","fmt/1476","application/tei+xml","TEI P5 - Single Text File","P5"
